theta_0,FB_y_0,y_0,FB_surplus,SB_surplus,info_rents,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
-7.0,0.464307,20.0,0.10016900235807323,-0.0040000000051724025,0.0,0.048,0.0,0.179,1.615,0.04,0.161,0.0
-6.555555555555555,0.469512,20.0,0.13776224059380776,-0.004000000011235376,0.0,0.064,0.0,0.241,1.675,0.051,0.217,0.0
-6.111111111111111,0.475898,20.0,0.18679922382082728,-0.004000000024117785,0.0,0.083,0.0,0.321,1.738,0.063,0.291,0.0
-5.666666666666667,0.483803,20.0,0.2494775225934887,-0.0040000000511585905,0.0,0.108,0.0,0.422,1.806,0.078,0.384,0.0
-5.222222222222222,0.493374,20.0,0.3278328918729943,-0.0040000001072447505,0.0,0.138,0.0,0.547,1.878,0.096,0.5,0.0
-4.777777777777778,0.504949,20.0,0.4234616841335821,-0.004000000222166777,0.0,0.174,0.0,0.7,1.954,0.116,0.641,0.0
-4.333333333333334,0.518898,3.071374728490737,0.5372205615947752,0.40505979204998055,0.0,0.218,0.05,0.883,2.036,0.139,0.81,0.468
-3.8888888888888893,0.535555,1.6876177121304274,0.6689646216666505,0.6294328876549051,0.12944042357764107,0.271,0.149,1.097,2.123,0.165,1.008,0.815
-3.4444444444444446,0.555444,1.0238608062107144,0.8173917106346886,0.8091656876501406,0.32367712277505745,0.333,0.265,1.343,2.216,0.195,1.234,1.141
-3.0,0.579126,0.5790132960773786,0.9800425583809196,0.9800425576759489,0.5663907732029148,0.406,0.406,1.62,2.315,0.227,1.487,1.487
