theta_0,FB_y_0,y_0,FB_surplus,SB_surplus,info_rents,SB_profits,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
4.0,0.0769837700814478,1.0,0.9486478839515536,0.0,0.0,0.0,0.178,0.0,1.188,4.11,0.047,1.171,0.0
4.444444444444445,0.07240300427456024,1.0,1.2482681582348398,0.0,0.0,0.0,0.22,0.0,1.543,4.513,0.053,1.524,0.0
4.888888888888889,0.0682582525659621,1.0,1.5854749360071292,0.0,0.0,0.0,0.267,0.0,1.942,4.929,0.058,1.92,0.0
5.333333333333333,0.06450952875059784,0.9256901851557382,1.952542008964934,0.39063776665374533,0.00032310435907290113,0.39031466229467243,0.319,0.025,2.377,5.356,0.064,2.352,0.422
5.777777777777778,0.06111820556797508,0.7338496410299156,2.341478270646271,1.3681050117216147,0.06070562569289634,1.3073993860287183,0.376,0.107,2.839,5.79,0.069,2.812,1.501
6.222222222222222,0.058047695634129454,0.49752333500465,2.7449804702943905,2.357913247277918,0.2706170635487401,2.087296183729178,0.438,0.233,3.322,6.229,0.075,3.292,2.65
6.666666666666666,0.05526396532604322,0.25732137768288615,3.1569226219318893,3.0846877596018474,0.6371462226876359,2.4475415369142115,0.504,0.396,3.82,6.67,0.08,3.787,3.58
7.111111111111111,0.05273585624111473,0.143276478745136,3.5724738701755796,3.557612394492846,1.1041210088111213,2.453491385681725,0.575,0.52,4.327,7.113,0.085,4.291,4.207
7.555555555555555,0.050435220429337416,0.08447002868232432,3.9879946216270215,3.9857032323198522,1.5997297938509534,2.385973438468899,0.65,0.627,4.84,7.556,0.091,4.801,4.77
8.0,0.048336898876386765,0.048336282852805716,4.400837221891324,4.400837221886329,2.1067756597995264,2.2940615620868026,0.731,0.731,5.356,8.0,0.096,5.314,5.314
